# Chunk-averaged data for fix pSi and group gSi
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
0 240 720
  1 0.25 0 0
  2 0.75 3 0.337869
  3 1.25 16 1.80197
  4 1.75 7 0.78836
  5 2.25 8 0.900983
  6 2.75 12 1.35147
  7 3.25 11 1.23885
  8 3.75 12 1.35147
  9 4.25 9 1.01361
  10 4.75 8 0.900983
  11 5.25 10 1.12623
  12 5.75 14 1.57672
  13 6.25 8 0.900983
  14 6.75 12 1.35147
  15 7.25 9 1.01361
  16 7.75 10 1.12623
  17 8.25 13 1.4641
  18 8.75 11 1.23885
  19 9.25 9 1.01361
  20 9.75 15 1.68934
  21 10.25 10 1.12623
  22 10.75 7 0.78836
  23 11.25 12 1.35147
  24 11.75 13 1.4641
  25 12.25 12 1.35147
  26 12.75 10 1.12623
  27 13.25 12 1.35147
  28 13.75 10 1.12623
  29 14.25 10 1.12623
  30 14.75 11 1.23885
  31 15.25 8 0.900983
  32 15.75 12 1.35147
  33 16.25 13 1.4641
  34 16.75 11 1.23885
  35 17.25 8 0.900983
  36 17.75 10 1.12623
  37 18.25 10 1.12623
  38 18.75 20 2.25246
  39 19.25 7 0.78836
  40 19.75 10 1.12623
  41 20.25 6 0.675737
  42 20.75 12 1.35147
  43 21.25 11 1.23885
  44 21.75 12 1.35147
  45 22.25 8 0.900983
  46 22.75 13 1.4641
  47 23.25 10 1.12623
  48 23.75 14 1.57672
  49 24.25 12 1.35147
  50 24.75 9 1.01361
  51 25.25 8 0.900983
  52 25.75 14 1.57672
  53 26.25 14 1.57672
  54 26.75 9 1.01361
  55 27.25 8 0.900983
  56 27.75 10 1.12623
  57 28.25 10 1.12623
  58 28.75 15 1.68934
  59 29.25 7 0.78836
  60 29.75 16 1.80197
  61 30.25 13 1.4641
  62 30.75 9 1.01361
  63 31.25 10 1.12623
  64 31.75 12 1.35147
  65 32.25 10 1.12623
  66 32.75 14 1.57672
  67 33.25 5 0.563115
  68 33.75 12 1.35147
  69 34.25 4 0.450492
  70 34.75 0 0
  71 35.25 0 0
  72 35.75 0 0
  73 36.25 0 0
  74 36.75 0 0
